Date,Open,High,Low,Close,Adj Close,Volume
2023-11-09,5825.000000,5900.000000,5800.000000,5875.000000,5589.158203,45026200
2023-11-10,5850.000000,5850.000000,5775.000000,5775.000000,5494.023438,59611500
2023-11-13,5850.000000,5850.000000,5800.000000,5825.000000,5541.590820,17444600
2023-11-14,5825.000000,5900.000000,5800.000000,5825.000000,5541.590820,50587800
2023-11-15,5900.000000,5975.000000,5875.000000,5925.000000,5636.725098,74255700
2023-11-16,5850.000000,5925.000000,5825.000000,5925.000000,5636.725098,36004500
2023-11-17,5875.000000,5950.000000,5850.000000,5900.000000,5612.941406,33963900
2023-11-20,5825.000000,5925.000000,5825.000000,5875.000000,5589.158203,20014600
2023-11-21,5850.000000,5925.000000,5825.000000,5875.000000,5589.158203,55094300
2023-11-22,5825.000000,5900.000000,5825.000000,5875.000000,5589.158203,21111100
2023-11-23,5950.000000,5950.000000,5900.000000,5900.000000,5612.941406,36725600
2023-11-24,5925.000000,5925.000000,5850.000000,5875.000000,5589.158203,27087900
2023-11-27,5900.000000,5925.000000,5875.000000,5900.000000,5612.941406,39719300
2023-11-28,5900.000000,5925.000000,5875.000000,5900.000000,5612.941406,58255800
2023-11-29,5850.000000,5925.000000,5825.000000,5850.000000,5565.374512,36796600
2023-11-30,5850.000000,5925.000000,5825.000000,5850.000000,5565.374512,117365000
2023-12-01,5850.000000,5900.000000,5825.000000,5900.000000,5612.941406,31365100
2023-12-04,5925.000000,6025.000000,5900.000000,6000.000000,5708.076172,66145100
2023-12-05,6000.000000,6000.000000,5875.000000,5975.000000,5684.292480,58668400
2023-12-06,5925.000000,5950.000000,5800.000000,5800.000000,5517.807129,88747200
2023-12-07,5800.000000,5825.000000,5725.000000,5750.000000,5470.239746,97966700
2023-12-08,5750.000000,5775.000000,5650.000000,5700.000000,5422.672363,98036700
2023-12-11,5650.000000,5800.000000,5650.000000,5775.000000,5494.023438,68655000
2023-12-12,5800.000000,5825.000000,5750.000000,5800.000000,5517.807129,55110500
2023-12-13,5750.000000,5775.000000,5700.000000,5725.000000,5446.456055,121450600
2023-12-14,5825.000000,6025.000000,5800.000000,5950.000000,5660.508789,171595800
2023-12-15,5950.000000,6000.000000,5900.000000,5900.000000,5612.941406,142382200
2023-12-18,5850.000000,5950.000000,5850.000000,5925.000000,5636.725098,101458600
2023-12-19,5950.000000,5975.000000,5925.000000,5975.000000,5684.292480,40763200
2023-12-20,5900.000000,5975.000000,5900.000000,5925.000000,5636.725098,65361000
2023-12-21,5950.000000,5975.000000,5925.000000,5975.000000,5684.292480,50363900
2023-12-22,5950.000000,5975.000000,5925.000000,5975.000000,5684.292480,29975600
2023-12-27,6000.000000,6025.000000,5925.000000,6000.000000,5708.076172,43114900
2023-12-28,6050.000000,6150.000000,6000.000000,6125.000000,5826.994629,75118700
